0	NoErr
1	FormErr
2	ServFail
3	NXDomain
4	NotImp
5	Refused
6	YXDomain
7	YXRRSet
8	NXRRSet
9	NotAuth
10	NotZone
16	BadSig
17	BadKey
18	BadTime
19	BadMode
20	BadName
21	BadAlg
22	BadTruc
23	BadCookie
